id,label,flagged,repaired,conflicts
1,neutral,0,1,
2,neutral,0,0,
3,neutral,0,0,
4,annoyance,0,0,
5,annoyance,0,0,
6,neutral,0,1,
7,disapproval,0,0,
8,neutral,0,1,
9,neutral,0,0,
10,neutral,0,0,
11,neutral,0,1,
12,amusement,0,0,
13,neutral,0,0,
14,disapproval,0,0,
15,joy,0,0,
16,neutral,0,0,
17,annoyance,0,0,
18,neutral,0,0,
19,neutral,0,1,
20,neutral,0,0,
21,disgust,0,0,
22,caring,1,0,ekman:sadness!=joy
23,fear,0,0,
24,neutral,0,1,
25,neutral,0,0,
26,disapproval,0,0,
27,neutral,0,0,
28,neutral,0,0,
29,disapproval,0,0,
30,caring,0,0,
31,neutral,0,0,
32,gratitude,0,0,
33,neutral,0,1,
34,neutral,0,0,
35,neutral,0,0,
36,disappointment,0,0,
37,neutral,0,1,
38,annoyance,0,0,
39,neutral,1,0,ekman:joy!=neutral
40,gratitude,0,0,
41,gratitude,0,0,
42,neutral,0,0,
43,amusement,0,0,
44,disappointment,0,0,
45,disgust,0,0,
46,amusement,0,0,
47,annoyance,0,0,
48,confusion,0,0,
49,disapproval,0,0,
50,neutral,0,1,
51,neutral,0,0,
52,neutral,0,1,
53,neutral,0,1,
54,admiration,0,0,
55,neutral,0,0,
56,neutral,0,0,
57,disappointment,0,0,
58,gratitude,0,0,
59,confusion,1,0,ekman:joy!=surprise
60,caring,0,0,
61,admiration,0,0,
62,amusement,0,0,
63,neutral,0,0,
64,neutral,1,0,ekman:joy!=neutral
65,optimism,0,0,
66,approval,0,0,
67,excitement,0,0,
68,caring,0,0,
69,admiration,0,0,
70,confusion,0,0,
71,neutral,0,1,
72,disappointment,0,0,
73,neutral,0,0,
74,neutral,0,1,
75,admiration,0,0,
76,confusion,0,0,
77,neutral,0,0,
78,anger,0,0,
79,annoyance,0,0,
80,excitement,0,0,
81,disapproval,0,0,
82,neutral,0,0,
83,neutral,0,0,
84,fear,0,0,
85,optimism,0,0,
86,neutral,0,0,
87,annoyance,0,0,
88,neutral,0,0,
89,neutral,1,0,ekman:surprise!=neutral
90,disapproval,0,0,
91,amusement,0,0,
92,admiration,0,0,
93,curiosity,1,0,ekman:joy!=surprise
94,curiosity,0,0,
95,neutral,0,1,
96,joy,0,0,
97,disapproval,0,0,
98,neutral,0,0,
99,gratitude,0,0,
100,disapproval,0,0,
101,neutral,0,0,
102,optimism,0,0,
103,approval,0,0,
104,neutral,0,0,
105,admiration,0,0,
106,gratitude,0,0,
107,admiration,0,0,
108,neutral,0,1,
109,neutral,0,0,
110,neutral,0,0,
111,neutral,0,1,
112,neutral,0,0,
113,neutral,0,0,
114,neutral,0,1,
115,amusement,0,0,
116,neutral,0,0,
117,sadness,0,0,
118,neutral,0,0,
119,disapproval,0,0,
120,amusement,1,0,ekman:surprise!=joy
121,neutral,0,1,
122,excitement,0,0,
123,excitement,0,0,
124,annoyance,0,0,
125,approval,0,0,
126,disapproval,0,0,
127,disgust,0,0,
128,neutral,0,0,
129,love,0,0,
130,desire,1,0,ekman:sadness!=joy
131,neutral,0,1,
132,disgust,0,1,
133,amusement,0,0,
134,neutral,0,1,
135,neutral,0,0,
136,neutral,0,1,
137,neutral,0,1,
138,neutral,0,1,
139,desire,0,0,
140,disapproval,0,0,
141,admiration,0,0,
142,amusement,0,0,
143,neutral,0,1,
144,optimism,0,0,
145,excitement,0,0,
146,love,0,0,
147,neutral,0,0,
148,neutral,0,1,
149,embarrassment,0,0,
150,sadness,0,0,
151,embarrassment,0,0,
152,neutral,0,0,
153,annoyance,0,0,
154,neutral,0,1,
155,gratitude,0,0,
156,disapproval,0,0,
157,disgust,0,0,
158,neutral,0,1,
159,caring,0,0,
160,sadness,0,0,
161,love,0,0,
162,amusement,0,0,
163,neutral,0,0,
164,admiration,0,0,
165,neutral,0,0,
166,admiration,0,0,
167,excitement,0,0,
168,neutral,0,0,
169,annoyance,0,0,
170,neutral,0,1,
171,neutral,0,0,
172,neutral,0,0,
173,admiration,0,0,
174,neutral,0,0,
175,curiosity,1,0,ekman:joy!=surprise
176,disapproval,0,0,
177,annoyance,0,0,
178,annoyance,0,0,
179,neutral,0,0,
180,anger,0,0,
181,neutral,0,0,
182,disapproval,0,0,
183,approval,0,0,
184,love,0,0,
185,neutral,0,1,
186,fear,0,0,
187,love,0,0,
188,disapproval,0,0,
189,disapproval,0,0,
190,sadness,0,0,
191,disapproval,0,0,
192,relief,0,0,
193,neutral,0,0,
194,optimism,0,0,
195,annoyance,0,0,
