sample_index,fine_A,fine_B,fine_M,ekman_A,ekman_B,sent_A,sent_B,combined_fine,combined_ekman,combined_sent
1,curiosity,amusement,amusement,neutral,neutral,positive,neutral,amusement,joy,positive
2,neutral,amusement,amusement,neutral,neutral,positive,ambiguous,neutral,neutral,neutral
3,neutral,neutral,,neutral,neutral,neutral,neutral,neutral,neutral,neutral
4,annoyance,annoyance,,anger,anger,negative,negative,annoyance,anger,negative
5,annoyance,annoyance,,anger,anger,negative,negative,annoyance,anger,negative
6,excitement,amusement,amusement,neutral,neutral,neutral,positive,excitement,joy,positive
7,disapproval,annoyance,disapproval,anger,anger,negative,negative,disapproval,anger,negative
8,curiosity,disapproval,disapproval,neutral,neutral,negative,negative,disapproval,anger,negative
9,neutral,neutral,,neutral,neutral,neutral,neutral,neutral,neutral,neutral
10,neutral,neutral,,neutral,neutral,neutral,neutral,neutral,neutral,neutral
11,disapproval,amusement,amusement,neutral,anger,negative,negative,neutral,neutral,neutral
12,amusement,amusement,,joy,joy,positive,positive,amusement,joy,positive
13,neutral,amusement,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
14,disapproval,disapproval,,anger,anger,negative,negative,disapproval,anger,negative
15,joy,joy,,joy,joy,positive,positive,joy,joy,positive
16,neutral,amusement,excitement,neutral,neutral,neutral,ambiguous,neutral,neutral,neutral
17,annoyance,annoyance,,anger,anger,negative,negative,annoyance,anger,negative
18,neutral,neutral,,neutral,neutral,neutral,neutral,neutral,neutral,neutral
19,amusement,amusement,,neutral,joy,positive,ambiguous,amusement,joy,positive
20,neutral,amusement,amusement,neutral,anger,negative,negative,neutral,neutral,neutral
21,disgust,disgust,,disgust,disgust,negative,negative,disgust,disgust,negative
22,caring,caring,,sadness,joy,positive,positive,caring,joy,positive
23,fear,fear,,fear,fear,negative,negative,fear,fear,negative
24,disapproval,amusement,disapproval,neutral,neutral,negative,negative,disapproval,anger,negative
25,neutral,neutral,,neutral,neutral,neutral,neutral,neutral,neutral,neutral
26,disapproval,disapproval,,anger,neutral,negative,negative,disapproval,anger,negative
27,neutral,neutral,,neutral,neutral,neutral,neutral,neutral,neutral,neutral
28,neutral,neutral,,neutral,neutral,neutral,neutral,neutral,neutral,neutral
29,disapproval,disapproval,,anger,anger,negative,negative,disapproval,anger,negative
30,caring,caring,,joy,joy,positive,positive,caring,joy,positive
31,neutral,neutral,,neutral,neutral,neutral,neutral,neutral,neutral,neutral
32,gratitude,gratitude,,joy,joy,positive,positive,gratitude,joy,positive
33,caring,caring,,neutral,neutral,positive,positive,caring,joy,positive
34,neutral,neutral,,neutral,neutral,neutral,neutral,neutral,neutral,neutral
35,neutral,caring,caring,neutral,neutral,neutral,positive,neutral,neutral,neutral
36,disappointment,disappointment,,sadness,sadness,negative,negative,disappointment,sadness,negative
