id,method,verdict,escalated,uncertainty,is_demo,calls_per_item,provisional_pro,provisional_con,Rationale
1,annollm,,,,1,0.0,,,HELD OUT AS DEMONSTRATION
2,annollm,,,,1,0.0,,,HELD OUT AS DEMONSTRATION
3,annollm,,,,1,0.0,,,HELD OUT AS DEMONSTRATION
4,annollm,,,,1,0.0,,,HELD OUT AS DEMONSTRATION
5,annollm,,,,1,0.0,,,HELD OUT AS DEMONSTRATION
6,annollm,,,,1,0.0,,,HELD OUT AS DEMONSTRATION
7,annollm,,,,1,0.0,,,HELD OUT AS DEMONSTRATION
8,annollm,No,0.0,,0,1.0,,,"Compound requirement of two separate doors with distinct adjacencies that could independently pass or fail, plus user-role designations not modeled."
9,annollm,No,0.0,,0,1.0,,,"Depends on the 'required reach depth' specified in another clause or table, so it is not self-contained."
10,annollm,,,,1,0.0,,,HELD OUT AS DEMONSTRATION
11,annollm,Yes,0.0,,0,1.0,,,Single conditional sight-line obligation decidable by geometric analysis of seating in a fully populated model.
12,annollm,No,0.0,,0,1.0,,,"Bundles multiple security devices, cabling and off-site monitoring by a command center, which cannot be verified from a model."
13,annollm,Yes,0.0,,0,1.0,,,"Single conditional sight-line obligation over standing spectators, computable from model geometry."
14,annollm,No,0.0,,0,1.0,,,"Lists several loose equipment items and an optional ('potentially') one, so it is neither single nor definite."
15,annollm,No,0.0,,0,1.0,,,Two independent counts (spectator seat range and wheelchair seats) that could separately pass or fail.
16,annollm,No,0.0,,0,1.0,,,"Furnishing item with vague 'near lounge areas' placement and owner-furnished note, requiring subjective judgment."
17,annollm,Yes,0.0,,0,1.0,,,"Single countable requirement of three workstations in a defined room type, verifiable in the model."
18,annollm,Yes,0.0,,0,1.0,,,Single obligation for a specified component with a checkable attribute located at a modeled entrance.
19,annollm,Yes,0.0,,0,1.0,,,"One clearance requirement with a stated material-thickness exception, decidable from modeled geometry and material properties."
20,annollm,No,0.0,,0,1.0,,,"Defers the actual requirement to a Presidential Decree, providing no checkable criterion."
21,annollm,No,0.0,,0,1.0,,,"Three separate limits (roof height, eave height, storey count) that could independently pass or fail."
22,annollm,Yes,0.0,,0,1.0,,,"Single mandatory configuration for the entire first floor, decidable from the model's structural layout."
23,annollm,No,0.0,,0,1.0,,,"Offers alternative performance-based solutions whose adequacy (wall drying, water pressure resistance) needs empirical/engineering evaluation."
24,annollm,No,0.0,,0,1.0,,,"The exception requires structural strength-equivalence analysis, not decidable from model data alone."
25,annollm,No,0.0,,0,1.0,,,Garbled fragment citing external guidance documents and formulas rather than a self-contained obligation.
26,annollm,No,0.0,,0,1.0,,,"Prescribes a calculation time interval, a procedural matter not verifiable against model content."
27,annollm,No,0.0,,0,1.0,,,Relies on 'Category 1 or 2' building classification defined outside the sentence.
28,annollm,No,0.0,,0,1.0,,,Requires subjective consistency judgment about design temperatures and external occupancy/analysis data.
29,annollm,No,0.0,,0,1.0,,,"Administrative submission of a report, not a model-checkable physical condition."
30,annollm,No,0.0,,0,1.0,,,Requires energy analysis and administrative rating assignment beyond model data.
31,annollm,No,0.0,,0,1.0,,,Depends on original system capacity data and a document submittal to authorities.
32,annollm,Yes,0.0,,0,1.0,,,Floor area threshold and presence of sub-meters per use category are derivable from a populated model.
33,annollm,No,0.0,,0,1.0,,,Definitional clause relying on external referenced standards.
34,annollm,Yes,0.0,,0,1.0,,,Ceiling finish material for named room types is a checkable model attribute.
35,annollm,Yes,0.0,,0,1.0,,,Separate and adjacent space provision is verifiable from model space topology.
36,annollm,No,0.0,,0,1.0,,,Cites an external finish code (PNT-2) and bundles two independent finish requirements.
37,annollm,No,0.0,,0,1.0,,,"Truncated, incomplete sentence with no stated requirement."
38,annollm,No,0.0,,0,1.0,,,Performance goal of 'reliable throughout service life' needs judgment and analysis.
39,annollm,No,0.0,,0,1.0,,,Needs design flow/water-quality data and offers alternative compliance paths.
40,annollm,No,0.0,,0,1.0,,,Cavity clear of mortar droppings requires site inspection and adds a second requirement.
41,annollm,Yes,0.0,,0,1.0,,,Exit width is computed from occupant load and stated numeric increments using model data.
42,annollm,No,0.0,,0,1.0,,,Moisture damage and health hazard outcomes require empirical assessment and judgment.
43,annollm,No,0.0,,0,1.0,,,Contains an exception hinging on subjective 'space precludes' judgment plus alternative placement.
44,annollm,No,0.0,,0,1.0,,,Bundles many independent device-location requirements including vague 'other selected areas'.
45,annollm,No,0.0,,0,1.0,,,Permissive allowance with multiple independent conditions rather than one obligation.
46,annollm,Yes,0.0,,0,1.0,,,Single numeric minimum width of a defined route measurable from model geometry.
47,annollm,Yes,0.0,,0,1.0,,,Explicit dimensional range for fixture placement is checkable geometrically.
48,annollm,No,0.0,,0,1.0,,,"Acoustic frequency limit requires physical measurement/testing, not model geometry."
49,annollm,No,0.0,,0,1.0,,,"Requires timed functional testing of a device, not model data."
50,annollm,No,0.0,,0,1.0,,,Door dwell time can only be verified by timed physical test.
51,annollm,Yes,0.0,,0,1.0,,,"Wall thickness, storey count and floor area are all quantifiable model geometry."
52,annollm,No,0.0,,0,1.0,,,"Noise character and sound level require acoustic measurement, not model data."
53,annollm,No,0.0,,0,1.0,,,Reverberation time demands empirical acoustic testing/analysis beyond the model.
54,annollm,Yes,0.0,,0,1.0,,,Bar diameter and concrete cover are explicit geometric attributes checkable in the model.
