id,fine,ekman,sentiment
1,curiosity,neutral,positive
2,neutral,neutral,positive
3,neutral,neutral,neutral
4,annoyance,anger,negative
5,annoyance,anger,negative
6,excitement,neutral,neutral
7,disapproval,anger,negative
8,curiosity,neutral,negative
9,neutral,neutral,neutral
10,neutral,neutral,neutral
11,disapproval,neutral,negative
12,amusement,joy,positive
13,neutral,neutral,neutral
14,disapproval,anger,negative
15,joy,joy,positive
16,neutral,neutral,neutral
17,annoyance,anger,negative
18,neutral,neutral,neutral
19,amusement,neutral,positive
20,neutral,neutral,negative
21,disgust,disgust,negative
22,caring,sadness,positive
23,fear,fear,negative
24,disapproval,neutral,negative
25,neutral,neutral,neutral
26,disapproval,anger,negative
27,neutral,neutral,neutral
28,neutral,neutral,neutral
29,disapproval,anger,negative
30,caring,joy,positive
31,neutral,neutral,neutral
32,gratitude,joy,positive
33,caring,neutral,positive
34,neutral,neutral,neutral
35,neutral,neutral,neutral
36,disappointment,sadness,negative
37,approval,neutral,positive
38,annoyance,anger,negative
39,neutral,joy,positive
40,gratitude,joy,positive
41,gratitude,joy,positive
42,neutral,neutral,positive
43,amusement,joy,neutral
44,disappointment,sadness,negative
45,disgust,disgust,negative
46,amusement,joy,positive
47,annoyance,anger,negative
48,confusion,surprise,ambiguous
49,disapproval,anger,negative
50,disapproval,neutral,negative
51,neutral,neutral,positive
52,curiosity,neutral,negative
53,curiosity,neutral,ambiguous
54,admiration,joy,positive
55,neutral,neutral,neutral
56,neutral,neutral,neutral
57,disappointment,sadness,negative
58,gratitude,joy,positive
59,confusion,joy,positive
60,caring,joy,positive
61,admiration,joy,positive
62,amusement,joy,positive
63,neutral,neutral,neutral
64,neutral,joy,positive
65,optimism,joy,positive
66,approval,joy,positive
67,excitement,joy,positive
68,caring,joy,positive
69,admiration,joy,positive
70,confusion,surprise,ambiguous
71,disapproval,neutral,negative
72,disappointment,sadness,negative
73,neutral,neutral,neutral
74,amusement,neutral,neutral
75,admiration,joy,positive
76,confusion,surprise,ambiguous
77,neutral,neutral,neutral
78,anger,anger,negative
79,annoyance,anger,negative
80,excitement,joy,positive
81,disapproval,anger,negative
82,neutral,neutral,neutral
83,neutral,neutral,neutral
84,fear,fear,negative
85,optimism,joy,positive
86,neutral,neutral,neutral
87,annoyance,anger,ambiguous
88,neutral,neutral,neutral
89,neutral,surprise,positive
90,disapproval,anger,negative
91,amusement,joy,neutral
92,admiration,joy,positive
93,curiosity,joy,positive
94,curiosity,surprise,ambiguous
95,gratitude,neutral,neutral
96,joy,joy,positive
97,disapproval,anger,negative
98,neutral,neutral,neutral
99,gratitude,joy,positive
100,disapproval,anger,negative
101,neutral,neutral,neutral
102,optimism,joy,positive
103,approval,joy,positive
104,neutral,neutral,neutral
105,admiration,joy,positive
106,gratitude,joy,positive
107,admiration,joy,positive
108,amusement,neutral,negative
109,neutral,neutral,neutral
110,neutral,neutral,neutral
111,optimism,neutral,positive
112,neutral,neutral,neutral
113,neutral,neutral,neutral
114,curiosity,neutral,ambiguous
115,amusement,joy,positive
116,neutral,neutral,neutral
117,sadness,sadness,negative
118,neutral,neutral,negative
119,disapproval,anger,negative
120,amusement,surprise,ambiguous
121,annoyance,neutral,neutral
122,excitement,joy,positive
123,excitement,joy,positive
124,annoyance,anger,negative
125,approval,joy,positive
126,disapproval,anger,negative
127,disgust,disgust,negative
128,neutral,neutral,neutral
129,love,joy,positive
130,desire,sadness,negative
131,disapproval,neutral,negative
132,fear,disgust,negative
133,amusement,joy,neutral
134,amusement,neutral,neutral
135,neutral,neutral,neutral
136,disapproval,neutral,negative
137,disapproval,neutral,negative
138,curiosity,neutral,ambiguous
139,desire,joy,positive
140,disapproval,anger,negative
141,admiration,joy,positive
142,amusement,joy,positive
143,confusion,neutral,ambiguous
144,optimism,joy,positive
145,excitement,joy,positive
146,love,joy,positive
147,neutral,neutral,neutral
148,disapproval,neutral,negative
149,embarrassment,sadness,negative
150,sadness,sadness,negative
151,embarrassment,sadness,negative
152,neutral,neutral,negative
153,annoyance,anger,negative
154,approval,neutral,positive
155,gratitude,joy,positive
156,disapproval,anger,negative
157,disgust,disgust,negative
158,approval,neutral,neutral
159,caring,joy,positive
160,sadness,sadness,negative
161,love,joy,positive
162,amusement,joy,positive
163,neutral,neutral,neutral
164,admiration,joy,positive
165,neutral,neutral,neutral
166,admiration,joy,positive
