id,rater_1,rater_2,rater_3,majority,unanimous
1,yes,yes,yes,yes,1
2,yes,yes,yes,yes,1
3,no,no,no,no,1
4,yes,yes,yes,yes,1
5,no,yes,yes,yes,0
6,no,yes,yes,yes,0
7,no,yes,yes,yes,0
8,yes,yes,yes,yes,1
9,no,no,yes,no,0
10,no,no,yes,no,0
11,no,no,yes,no,0
12,no,no,no,no,1
13,no,no,yes,no,0
14,no,yes,yes,yes,0
15,no,yes,yes,yes,0
16,no,yes,yes,yes,0
17,yes,yes,yes,yes,1
18,yes,yes,yes,yes,1
19,yes,yes,yes,yes,1
20,no,no,no,no,1
21,no,yes,yes,yes,0
22,yes,no,yes,yes,0
23,no,yes,yes,yes,0
24,no,yes,yes,yes,0
25,no,no,yes,no,0
26,no,no,no,no,1
27,yes,no,yes,yes,0
28,no,no,no,no,1
29,no,no,no,no,1
30,no,no,no,no,1
31,no,no,no,no,1
32,no,no,yes,no,0
33,no,no,no,no,1
34,yes,yes,yes,yes,1
35,no,yes,yes,yes,0
36,yes,yes,yes,yes,1
37,no,no,no,no,1
38,no,no,yes,no,0
39,no,no,no,no,1
40,no,no,no,no,1
41,yes,yes,yes,yes,1
42,no,no,no,no,1
43,no,yes,no,no,0
44,no,yes,yes,yes,0
45,no,no,yes,no,0
46,yes,yes,yes,yes,1
47,yes,yes,yes,yes,1
48,no,no,yes,no,0
49,no,no,yes,no,0
50,no,no,yes,no,0
51,yes,yes,yes,yes,1
52,no,no,no,no,1
53,no,no,no,no,1
54,yes,yes,yes,yes,1
55,yes,yes,yes,yes,1
56,yes,yes,yes,yes,1
57,no,yes,yes,yes,0
58,no,no,no,no,1
59,no,no,no,no,1
60,yes,yes,yes,yes,1
61,no,no,no,no,1
62,no,yes,no,no,0
63,no,yes,no,no,0
64,no,no,no,no,1
65,no,no,no,no,1
66,no,no,yes,no,0
67,no,no,no,no,1
68,no,no,yes,no,0
69,yes,yes,yes,yes,1
70,yes,yes,yes,yes,1
71,yes,yes,yes,yes,1
72,yes,yes,yes,yes,1
73,yes,yes,yes,yes,1
74,no,no,no,no,1
75,no,yes,yes,yes,0
76,yes,yes,yes,yes,1
77,no,yes,yes,yes,0
78,yes,yes,yes,yes,1
79,no,no,no,no,1
80,yes,yes,yes,yes,1
81,yes,yes,yes,yes,1
82,no,no,no,no,1
83,no,yes,yes,yes,0
84,no,yes,yes,yes,0
85,yes,yes,yes,yes,1
86,yes,yes,no,yes,0
87,yes,yes,yes,yes,1
88,yes,yes,yes,yes,1
89,no,no,yes,no,0
90,yes,yes,yes,yes,1
91,no,yes,yes,yes,0
92,yes,yes,yes,yes,1
93,yes,yes,yes,yes,1
94,no,yes,yes,yes,0
95,no,no,yes,no,0
96,yes,yes,yes,yes,1
97,yes,yes,yes,yes,1
98,no,no,no,no,1
99,yes,yes,yes,yes,1
100,no,no,no,no,1
101,yes,yes,yes,yes,1
102,no,no,no,no,1
103,yes,yes,yes,yes,1
104,yes,yes,yes,yes,1
105,yes,yes,yes,yes,1
106,yes,yes,yes,yes,1
107,yes,yes,yes,yes,1
108,no,no,no,no,1
109,yes,yes,yes,yes,1
110,yes,yes,yes,yes,1
111,no,no,no,no,1
112,yes,yes,yes,yes,1
113,yes,yes,yes,yes,1
114,yes,yes,yes,yes,1
115,yes,yes,yes,yes,1
116,yes,yes,yes,yes,1
117,no,yes,no,no,0
118,yes,yes,yes,yes,1
119,no,no,yes,no,0
120,no,no,yes,no,0
121,no,no,yes,no,0
122,no,yes,yes,yes,0
123,no,no,yes,no,0
124,no,no,no,no,1
125,no,no,no,no,1
126,no,no,yes,no,0
127,yes,yes,yes,yes,1
128,yes,no,yes,yes,0
129,yes,yes,yes,yes,1
130,no,no,yes,no,0
131,no,no,yes,no,0
132,yes,yes,yes,yes,1
