id,verdict,sentential,normative,referential,process,data,human,atomicity,completeness,self_sufficiency,atomicity_aggregate
1,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
2,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
3,No,Complete,P,Complete,Independent,Independent,Dependent,,Incomplete,No,
4,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
5,No,Incomplete,Y,Complete,Independent,Independent,Independent,,Incomplete,Yes,
6,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
7,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
8,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
9,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
10,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
11,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
12,No,Complete,Y,Complete,Dependent,Independent,Dependent,,Complete,No,
13,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
14,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
15,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
16,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
17,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
18,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
19,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
20,No,Complete,N,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
21,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
22,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
23,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
24,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
25,No,Incomplete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
26,No,Complete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
27,No,Complete,Y,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
28,No,Complete,N,Complete,Dependent,Dependent,Dependent,,Incomplete,No,
29,No,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,
30,No,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,
31,No,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,
32,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
33,No,Complete,N,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
34,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
35,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
36,No,Complete,Y,Complete,Independent,Independent,Independent,Compound,Complete,Yes,Compound
37,No,Incomplete,N,Complete,Independent,Independent,Independent,,Incomplete,Yes,
38,No,Complete,Y,Complete,Dependent,Independent,Dependent,,Complete,No,
39,No,Complete,Y,Complete,Dependent,Dependent,Independent,,Complete,No,
40,No,Complete,Y,Complete,Dependent,Independent,Independent,,Complete,No,
41,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
42,No,Complete,Y,Complete,Dependent,Independent,Dependent,,Complete,No,
43,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
44,No,Complete,Y,Complete,Independent,Independent,Dependent,,Complete,No,
45,No,Complete,P,Incomplete,Independent,Independent,Independent,,Incomplete,Yes,
46,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
47,Yes,Complete,Y,Complete,Independent,Independent,Independent,Atomic,Complete,Yes,Atomic
48,No,Complete,Y,Complete,Dependent,Independent,Independent,,Complete,No,
