sample_index,goemotions_id,fine,ekman,sent,text_sha256,char_len
1,efg88ln,amusement,joy,positive,fad8d7ee5ee876e2440fb8e48c39b8c3ecb5d19239b0caaf607d0df329db3e4e,109
2,edje5q9,disapproval,anger,negative,cb1aff654d47c3c1a2e7943e02ee71a6a8ada05f7e0ca68948bc7749befa4909,59
3,ed01hr6,neutral,neutral,neutral,032d93cdac330ea058259c559a1901deedc606d25e45002c0f83844bd5b13af7,18
4,edclugt,fear,fear,negative,3eca23b1654439e6c7b315777675e678bd464b1429c43d4b7a9a3e6bd533b1a9,90
5,ef5lv2c,neutral,neutral,neutral,7393132ec86cb9eeae527751fd4d07bc76d741d6e972617fbe0d86c8f75c97f9,61
6,edz3irq,neutral,neutral,neutral,f448f66eb6beab27537279616ce28dc7697ec0b14c8546f64f6d729fe5be6d17,36
7,ed77gkb,annoyance,anger,negative,ec819f711e4287495dbdc0ad33280a4639b31935528dcad5af48c88ef67cfac6,36
8,edxyu9t,anger,anger,negative,6046d7cf5a891a94f0e80f48406c3f74461661fb610697befb8c017265986e98,88
9,edn8uyh,neutral,neutral,neutral,a857754c1a75d1ff6f913e60fcd01191b3c43f25db9b9f4c1ee8d4f2e066877e,51
10,ee096or,neutral,neutral,neutral,383a91320969ca3a5bd184b5d64aa2dcd7da2520f537982631963d336677eed3,161
11,ef4litv,sadness,sadness,negative,d1955ef7c211a83ab49fe180ceaba813c6959fa5b6b96abae9bc386839f29011,64
12,eeetrf7,neutral,neutral,neutral,1b93b9c93e55bd9ffe9ed85b3e2e9d644a214a7e6f2ae385da7eded4dc648e43,52
13,edlko45,neutral,neutral,neutral,fe57e2c7e8abe43a570564d0170c396991aea766a7b6622f54ae6ca43b7c865d,38
14,ed88wg5,disgust,disgust,negative,6492b06707651cf147be2a26a079dbebea84b7744bd00edf3d1ef5ee8b08ed1d,11
15,edv1vds,love,joy,positive,d235a49316799104d9232340b06004493d169ac9d67a755fa07fb91b1c155d9c,60
16,edf27sz,neutral,neutral,neutral,7ee8ef2fa63bcec05ffe7b7da59053bd760f714f64b1d7c9271630b4902b972b,14
17,edluqx4,disgust,disgust,negative,c4840a11cf452aed015e90b6a0a3b587a5c010d6cdb5575f8b3d20b91088e61a,129
18,ee10wv2,neutral,neutral,neutral,e8faa657e2037ed1dd438ff056c374fdd252c40ededaafe4331d8586be764b8e,78
19,eczh6mi,neutral,neutral,neutral,42ad57aaa6ea1a511108efcff4f656fdf1459daf5e57512d7d6af7c444b412d5,43
20,eemefit,caring,joy,positive,9af620bbbb3beeacd1a684d6eb5042acc93021fb6398d5e6b1135874aa511339,29
21,eempufb,anger,anger,negative,ba3509c7a4d0baf0d225515444af52e2df57dfbeb08055f66d51235ecac14b6d,37
22,ef5r1ke,caring,joy,positive,e66cc897238748e9a72f34bbd2dacbc73cfa0ee04b565b6480c69752e086a11f,128
23,edplze2,fear,fear,negative,50e7d5a7564cb72e9d7db0e7ea5dd5952bf17796269a7aa59be0f35138bab10a,77
24,eetlif1,amusement,joy,positive,6f5656f6fa7f1efa2260a8203639335928ec67e4b687730b0ccb88046038af16,66
25,effb3xa,confusion,surprise,ambiguous,16f8dd0e07c417c32be67695075c3253fd32d8d6c6cee87c2dc7603298f9bed4,77
26,ee9gpyo,caring,joy,positive,8e2fa9b338758e410e9b19462a99d98a3a3b709515137d5b4a39e67f45b863d8,64
27,ed20116,realization,surprise,ambiguous,455e4ed61ed6614cf4fcfc5bb6ef62771469407c7b5b214831d74c7cebd805cc,35
28,eeahpqt,neutral,neutral,neutral,80586ef3098b5cbad73a2280c183ec37b36d7dafd76dfea2ca198e7cacf17328,103
29,edt9zur,approval,joy,positive,6edbff55bebf30b9d8d5a378db578800be0646bd5917549cf50d03a0cd976f18,60
30,ed911wk,admiration,joy,positive,9a8d834408ae3892902a7a9c06eaadae1108b6b05c34aa57084511ddd1fe88b1,94
31,ee613rq,neutral,neutral,neutral,01ec5eb66390d822118458f2ca4f892b471330e69b45ee6ac85affc209cc4188,62
32,efbcxjd,gratitude,joy,positive,3f0b3b6552a281e27a036e347b5bd663db9465d9afe1ee5fa3b37d8796b9a6b5,34
33,efa9b9m,caring,joy,positive,9a09ad30a93ae16f69ab9e3659c96ffeb287490acf0600c0d1d06cf518603682,93
34,edjp3a4,neutral,neutral,neutral,92618e90734d0446b8914cce31c5f01266816a01f8eee7f78cd7241e99504837,25
35,ed0jr9i,embarrassment,sadness,negative,d73fa93e6068ef1bcad5e682cff5d4328ed76f7b30e1cab0420e783da6d1dba6,145
36,eevfn1s,disappointment,sadness,negative,a63173ec2f49857adce3f618c956fe6f2c53e59569bad525f209077e5f89b9b9,103
37,ef8aufx,neutral,neutral,neutral,5e0d670847e9a252c9fddcd4edeba4eea33197f747d73dd619086ae9dd4eb131,105
38,ee5p45c,annoyance,anger,negative,a1a3c86c96c6711d7d724f43da1b5e0d806141f93c9da8f37722185b1733c3fa,69
39,edlgecg,love,joy,positive,8bf29dc6dccc0f17350e5fda72b35f6fcf5a2632060c6801684dd288ba01d8d3,45
40,efh977t,gratitude,joy,positive,288b787c562c12918488a1bac8f90a08cd90bcc529b9380940b144953f6cba57,104
41,eexi9i3,gratitude,joy,positive,f2db47f9a405b5d3443a103481a226eeb91fb53612550472c6a20864d1e02d7d,91
42,efez3zf,admiration,joy,positive,7f3394dcabe4acb9befbd6875f908c9485d4f19be3d860fefbd31382ede2f3cc,77
43,eduhvb7,amusement,joy,positive,7d8563b58324dc6f50937dc55927513b3feed31f77e1673eabe5700ff7f82a57,58
44,eejlhlv,neutral,neutral,neutral,e81ad13be6af2ee4e19f9a07747dd719a51c4e0c70eef6dee433da449920d3f9,134
45,edwf9b0,disapproval,anger,negative,9af7b4e8650e698ecee2bda014ff740aecf640100c1b2c39cedfe04b1506ef9a,58
46,ednobom,neutral,neutral,neutral,67bb67a682facb71432fe46cbeb5f5a5ca19947bd4e20f83adecdbf892ead8f9,41
47,edg6ig1,neutral,neutral,neutral,a281cdc860db9851e6f44147293686869722c208dd880e19cca6278004d9dbbf,74
48,eemlaus,confusion,surprise,ambiguous,34da6769330921ae8cccf39141a7e7efea342ecb4139fe7cfd0ac6f5a92d2c75,113
49,ef343vp,disapproval,anger,negative,a42abb4aaf4a053910ac8aaf53b7c1ffc4d98319082f301630f7c6fc576d4b23,52
50,edu3ej8,desire,joy,positive,03d4862aa477d2fffd4742253e54e1181354f1ca4c0630b73d514bae59843273,65
51,ed1hwvq,neutral,neutral,neutral,35f33f86a19b4678c9a802914121228668669e79c6ceafb0809c7307e036e9b3,115
52,ed8t9b1,curiosity,surprise,ambiguous,2a45799710947dd0608d4ff31f0f5aef54ba16e404857463de72428550937272,38
53,eel3kty,neutral,neutral,neutral,09e1e68a2472de6ac2ab2bf8544be1c518553e2033d1ac6ce05c6e06587bcb03,35
54,edvsund,admiration,joy,positive,d0611cdfd4cc1009d58b8ae392037a308f1d2cd08aacc41fd7545f47c5e0697c,21
55,ed6vcfh,joy,joy,positive,b9bf7176036fb2d46e70572dbbf712375c0e3cde201235c4926bdc88b98e7374,32
56,edbyvi1,anger,anger,negative,0be427b157f64fbd1bef9bb0b2d1479491dccb997aeaf198939b2fca4419abea,115
57,eecsc0x,surprise,surprise,ambiguous,b73bd7a2053481be8ffd73e628ab17657b9f867ab875533d443fc7617ff0043b,84
58,eegfgs5,gratitude,joy,positive,a8da901ba4a7ed134ab779bfd05002d5c02eaa4b0b7f207543cb91853c5d5fb3,40
59,ed8pbzk,admiration,joy,positive,111ddf962b05bf656e5cd9aa077c49a7ada1c65b5f0467cc3aa5eee098d3c6f1,71
60,ed8xf9t,gratitude,joy,positive,fa9209a13ff9b10cd47ae5b3f36ad6e80834986f8b775b0293fb2f09a0c9db28,75
61,edmkm90,admiration,joy,positive,a514cfaca10519bde14f7b72fe69597ab5972ab90e250b347ed57609dead5fe4,140
