sample_index,method,pass_id,label,confidence
6,annollm,0,amusement,
7,annollm,0,disapproval,
8,annollm,0,disapproval,
9,annollm,0,neutral,
10,annollm,0,neutral,
12,annollm,0,amusement,
13,annollm,0,neutral,
15,annollm,0,joy,
16,annollm,0,excitement,
17,annollm,0,annoyance,
18,annollm,0,neutral,
19,annollm,0,amusement,
20,annollm,0,amusement,
21,annollm,0,disgust,
22,annollm,0,caring,
23,annollm,0,fear,
24,annollm,0,amusement,
26,annollm,0,disapproval,
27,annollm,0,neutral,
28,annollm,0,neutral,
29,annollm,0,disapproval,
30,annollm,0,caring,
31,annollm,0,neutral,
32,annollm,0,gratitude,
33,annollm,0,caring,
34,annollm,0,neutral,
35,annollm,0,caring,
36,annollm,0,disappointment,
37,annollm,0,approval,
38,annollm,0,annoyance,
39,annollm,0,joy,
40,annollm,0,gratitude,
41,annollm,0,gratitude,
42,annollm,0,neutral,
43,annollm,0,amusement,
44,annollm,0,disappointment,
45,annollm,0,disgust,
46,annollm,0,amusement,
47,annollm,0,annoyance,
48,annollm,0,confusion,
49,annollm,0,disapproval,
50,annollm,0,amusement,
51,annollm,0,neutral,
52,annollm,0,disapproval,
53,annollm,0,curiosity,
54,annollm,0,admiration,
55,annollm,0,neutral,
56,annollm,0,confusion,
57,annollm,0,disappointment,
58,annollm,0,gratitude,
59,annollm,0,confusion,
60,annollm,0,caring,
61,annollm,0,admiration,
62,annollm,0,amusement,
63,annollm,0,pride,
64,annollm,0,caring,
65,annollm,0,optimism,
66,annollm,0,approval,
67,annollm,0,excitement,
68,annollm,0,caring,
69,annollm,0,admiration,
70,annollm,0,confusion,
71,annollm,0,disapproval,
72,annollm,0,disappointment,
73,annollm,0,neutral,
74,annollm,0,amusement,
75,annollm,0,admiration,
76,annollm,0,surprise,
77,annollm,0,amusement,
78,annollm,0,annoyance,
79,annollm,0,annoyance,
80,annollm,0,excitement,
81,annollm,0,disapproval,
82,annollm,0,neutral,
83,annollm,0,neutral,
84,annollm,0,fear,
85,annollm,0,optimism,
